text,intent
"Goblok, gitu aja gak bisa!",kata-kasar
Apakah depresi bisa disembuhkan tanpa obat?,psikologi
Saya ingin tahu jumlah anak yang terdampak KDRT.,jumlah-kdrt
Bisakah saya mendapatkan informasi tentang jumlah penduduk Indonesia?,data-umum
Ada data terbaru tentang perubahan iklim?,data-umum
"Saya merasa cemas setiap hari, kenapa ya?",psikologi
Bisakah saya mendapatkan informasi tentang jumlah penduduk Indonesia?,data-umum
Saya sulit tidur karena pikiran yang terus berputar.,psikologi
Apa tanda-tanda seseorang mengalami gangguan bipolar?,psikologi
Dimana saya bisa menemukan data jumlah korban KDRT?,jumlah-kdrt
Apa tanda-tanda seseorang mengalami gangguan bipolar?,psikologi
Kamu tidak berguna!,kata-kasar
Monyet lo!,kata-kasar
Berapa persen kasus KDRT yang dilaporkan ke polisi?,jumlah-kdrt
Ada kasus pelecehan di sekitar area kantor.,laporan-kekerasan
Bagaimana cara menghadapi gangguan kecemasan?,psikologi
Saya ingin berkonsultasi dengan psikolog.,psikologi
"Saya merasa cemas setiap hari, kenapa ya?",psikologi
Monyet lo!,kata-kasar
Apa yang harus saya lakukan jika merasa tidak termotivasi?,psikologi
"Saya merasa cemas setiap hari, kenapa ya?",psikologi
Apakah ada data mengenai jumlah mahasiswa tahun ini?,data-umum
Saya melihat seseorang dipukul di jalan.,laporan-kekerasan
Di kantor saya ada seseorang yang sering diintimidasi.,laporan-kekerasan
"Goblok, gitu aja gak bisa!",kata-kasar
"Bego banget, susah banget ngerti?",kata-kasar
Apa tanda-tanda seseorang mengalami gangguan bipolar?,psikologi
Bodoh banget sih kamu!,kata-kasar
Kamu tidak berguna!,kata-kasar
Saya melihat anak kecil diperlakukan kasar di supermarket.,laporan-kekerasan
Saya ingin tahu statistik kekerasan dalam rumah tangga.,jumlah-kdrt
Bodoh banget sih kamu!,kata-kasar
"Saya merasa cemas setiap hari, kenapa ya?",psikologi
Saya ingin tahu statistik jumlah pengangguran tahun ini.,data-umum
Ngapain sih lo tolol banget!,kata-kasar
Tolong berikan saya akses ke data kependudukan terbaru.,data-umum
Bisakah saya mendapatkan informasi tentang jumlah penduduk Indonesia?,data-umum
Berapa banyak korban KDRT yang mendapatkan bantuan?,jumlah-kdrt
Saya sulit tidur karena pikiran yang terus berputar.,psikologi
Kamu tidak berguna!,kata-kasar
Bagaimana tren kasus KDRT dalam 5 tahun terakhir?,jumlah-kdrt
Bagaimana cara menghadapi gangguan kecemasan?,psikologi
Bagaimana cara menghadapi gangguan kecemasan?,psikologi
Dimana saya bisa menemukan data jumlah korban KDRT?,jumlah-kdrt
Berapa banyak korban KDRT yang mendapatkan bantuan?,jumlah-kdrt
Lu emang nggak ada otak ya?,kata-kasar
Tolong berikan saya akses ke data kependudukan terbaru.,data-umum
Ada perkelahian di depan sekolah.,laporan-kekerasan
Lu emang nggak ada otak ya?,kata-kasar
Ada perkelahian di depan sekolah.,laporan-kekerasan
"Saya merasa cemas setiap hari, kenapa ya?",psikologi
Kenapa saya sering merasa kesepian dan sedih?,psikologi
Apakah ada penelitian tentang dampak KDRT terhadap anak?,jumlah-kdrt
Tolong berikan saya akses ke data kependudukan terbaru.,data-umum
Bisakah saya mendapatkan informasi tentang jumlah penduduk Indonesia?,data-umum
Lu emang nggak ada otak ya?,kata-kasar
Lu emang nggak ada otak ya?,kata-kasar
Saya ingin tahu tentang tren e-commerce tahun ini.,data-umum
"Di angkutan umum, saya melihat orang diperlakukan tidak pantas.",laporan-kekerasan
Saya ingin berkonsultasi dengan psikolog.,psikologi
"Goblok, gitu aja gak bisa!",kata-kasar
"Saya merasa cemas setiap hari, kenapa ya?",psikologi
Saya ingin tahu statistik kekerasan dalam rumah tangga.,jumlah-kdrt
Berapa banyak korban KDRT yang mendapatkan bantuan?,jumlah-kdrt
Monyet lo!,kata-kasar
Apakah ada data mengenai jumlah mahasiswa tahun ini?,data-umum
Dimana saya bisa mengakses database kesehatan?,data-umum
Saya melihat anak kecil diperlakukan kasar di supermarket.,laporan-kekerasan
Apakah depresi bisa disembuhkan tanpa obat?,psikologi
Ada perkelahian di depan sekolah.,laporan-kekerasan
Apakah ada laporan tentang KDRT di daerah saya?,jumlah-kdrt
Ngapain sih lo tolol banget!,kata-kasar
Berapa banyak korban KDRT yang mendapatkan bantuan?,jumlah-kdrt
"Di angkutan umum, saya melihat orang diperlakukan tidak pantas.",laporan-kekerasan
Ada perkelahian di depan sekolah.,laporan-kekerasan
Seorang wanita di taman tampak sedang diancam oleh pria.,laporan-kekerasan
Apakah ada peningkatan kasus KDRT di tahun ini?,jumlah-kdrt
Tolong berikan saya akses ke data kependudukan terbaru.,data-umum
Bisakah saya mendapatkan informasi tentang jumlah penduduk Indonesia?,data-umum
Ngapain sih lo tolol banget!,kata-kasar
Di kantor saya ada seseorang yang sering diintimidasi.,laporan-kekerasan
Berapa banyak korban KDRT yang mendapatkan bantuan?,jumlah-kdrt
Tolong berikan saya akses ke data kependudukan terbaru.,data-umum
Monyet lo!,kata-kasar
Saya melihat seseorang dipukul di jalan.,laporan-kekerasan
Apakah ada laporan tentang KDRT di daerah saya?,jumlah-kdrt
Ada kasus pelecehan di sekitar area kantor.,laporan-kekerasan
Apakah ada penelitian tentang dampak KDRT terhadap anak?,jumlah-kdrt
Ada perkelahian di depan sekolah.,laporan-kekerasan
Apakah ada penelitian tentang dampak KDRT terhadap anak?,jumlah-kdrt
Saya butuh bantuan untuk mengatasi stres.,psikologi
Apakah ada penelitian tentang dampak KDRT terhadap anak?,jumlah-kdrt
Apakah ada data mengenai jumlah mahasiswa tahun ini?,data-umum
Bagaimana cara menghadapi gangguan kecemasan?,psikologi
Berapa persen kasus KDRT yang dilaporkan ke polisi?,jumlah-kdrt
Bagaimana cara menghadapi gangguan kecemasan?,psikologi
Apakah ada data mengenai jumlah mahasiswa tahun ini?,data-umum
Saya ingin berkonsultasi dengan psikolog.,psikologi
Seorang wanita di taman tampak sedang diancam oleh pria.,laporan-kekerasan
Dimana saya bisa mendapatkan data terbaru tentang pendidikan?,data-umum
Ada data terbaru tentang perubahan iklim?,data-umum
Saya ingin berkonsultasi dengan psikolog.,psikologi
Kamu tidak berguna!,kata-kasar
"Bego banget, susah banget ngerti?",kata-kasar
Berapa banyak korban KDRT yang mendapatkan bantuan?,jumlah-kdrt
Kamu tidak berguna!,kata-kasar
Bagaimana cara mengatasi trauma masa kecil?,psikologi
Bagaimana tren kasus KDRT dalam 5 tahun terakhir?,jumlah-kdrt
Apa yang harus saya lakukan jika merasa tidak termotivasi?,psikologi
Saya ingin tahu tentang tren e-commerce tahun ini.,data-umum
Apakah ada penelitian tentang dampak KDRT terhadap anak?,jumlah-kdrt
Lu emang nggak ada otak ya?,kata-kasar
"Saya merasa cemas setiap hari, kenapa ya?",psikologi
"Bego banget, susah banget ngerti?",kata-kasar
Saya melihat anak kecil diperlakukan kasar di supermarket.,laporan-kekerasan
Apakah ada penelitian tentang dampak KDRT terhadap anak?,jumlah-kdrt
"Saya merasa cemas setiap hari, kenapa ya?",psikologi
Di kantor saya ada seseorang yang sering diintimidasi.,laporan-kekerasan
Apakah ada data mengenai jumlah mahasiswa tahun ini?,data-umum
Kenapa saya sering merasa kesepian dan sedih?,psikologi
Saya ingin tahu tentang tren e-commerce tahun ini.,data-umum
Kamu tidak berguna!,kata-kasar
Dimana saya bisa mengakses database kesehatan?,data-umum
Saya melihat anak kecil diperlakukan kasar di supermarket.,laporan-kekerasan
"Dasar tolol, otak dipakai!",kata-kasar
Apakah ada peningkatan kasus KDRT di tahun ini?,jumlah-kdrt
Dimana saya bisa mengakses database kesehatan?,data-umum
Apakah ada penelitian tentang dampak KDRT terhadap anak?,jumlah-kdrt
Tolong ada yang dipukul suaminya!,laporan-kekerasan
"Saya merasa cemas setiap hari, kenapa ya?",psikologi
Apakah depresi bisa disembuhkan tanpa obat?,psikologi
Saya ingin tahu statistik jumlah pengangguran tahun ini.,data-umum
Tolong berikan laporan ekonomi terbaru.,data-umum
Apakah ada laporan tentang KDRT di daerah saya?,jumlah-kdrt
Berapa jumlah kasus KDRT tahun ini?,jumlah-kdrt
Dimana saya bisa mengakses database kesehatan?,data-umum
Lu emang nggak ada otak ya?,kata-kasar
Saya butuh bantuan untuk mengatasi stres.,psikologi
Tolong ada yang dipukul suaminya!,laporan-kekerasan
Bagaimana tren kasus KDRT dalam 5 tahun terakhir?,jumlah-kdrt
Bodoh banget sih kamu!,kata-kasar
Tolong berikan laporan ekonomi terbaru.,data-umum
"Saya merasa cemas setiap hari, kenapa ya?",psikologi
Saya sulit tidur karena pikiran yang terus berputar.,psikologi
Saya ingin tahu jumlah anak yang terdampak KDRT.,jumlah-kdrt
Dimana saya bisa menemukan data jumlah korban KDRT?,jumlah-kdrt
"Goblok, gitu aja gak bisa!",kata-kasar
Berapa persen kasus KDRT yang dilaporkan ke polisi?,jumlah-kdrt
Apa yang harus saya lakukan jika merasa tidak termotivasi?,psikologi
Kamu tidak berguna!,kata-kasar
Saya ingin tahu jumlah anak yang terdampak KDRT.,jumlah-kdrt
Apakah ada penelitian tentang dampak KDRT terhadap anak?,jumlah-kdrt
Apakah ada laporan tentang KDRT di daerah saya?,jumlah-kdrt
Saya melihat seseorang dipukul di jalan.,laporan-kekerasan
Kamu tidak berguna!,kata-kasar
"Brengsek, gue kesel banget!",kata-kasar
"Brengsek, gue kesel banget!",kata-kasar
"Dasar tolol, otak dipakai!",kata-kasar
Saya butuh bantuan untuk mengatasi stres.,psikologi
Dimana saya bisa mengakses database kesehatan?,data-umum
Berapa persen kasus KDRT yang dilaporkan ke polisi?,jumlah-kdrt
Dimana saya bisa menemukan data jumlah korban KDRT?,jumlah-kdrt
Apa yang harus saya lakukan jika merasa tidak termotivasi?,psikologi
Apakah ada penelitian tentang dampak KDRT terhadap anak?,jumlah-kdrt
Tolong berikan laporan ekonomi terbaru.,data-umum
Bisakah saya mendapatkan informasi tentang jumlah penduduk Indonesia?,data-umum
Apakah ada penelitian tentang dampak KDRT terhadap anak?,jumlah-kdrt
Saya sulit tidur karena pikiran yang terus berputar.,psikologi
Saya ingin tahu statistik kekerasan dalam rumah tangga.,jumlah-kdrt
Saya mencari laporan keuangan perusahaan X.,data-umum
Anjing lo!,kata-kasar
Tolong berikan saya akses ke data kependudukan terbaru.,data-umum
Saya sulit tidur karena pikiran yang terus berputar.,psikologi
Bagaimana cara mengatasi trauma masa kecil?,psikologi
Apakah ada penelitian tentang dampak KDRT terhadap anak?,jumlah-kdrt
"Di angkutan umum, saya melihat orang diperlakukan tidak pantas.",laporan-kekerasan
Dimana saya bisa mendapatkan data terbaru tentang pendidikan?,data-umum
Ada data terbaru tentang perubahan iklim?,data-umum
Tolong berikan laporan ekonomi terbaru.,data-umum
Saya ingin tahu tentang tren e-commerce tahun ini.,data-umum
Monyet lo!,kata-kasar
Apakah ada penelitian tentang dampak KDRT terhadap anak?,jumlah-kdrt
Ada data terbaru tentang perubahan iklim?,data-umum
